NEWAGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,GEO_ID
5,1427,676,751,0500000US18009
6,852,358,494,0500000US18009
7,301,97,204,0500000US18009
0,66999,33331,33668,0500000US18011
1,19236,10063,9173,0500000US18011
2,20948,10443,10505,0500000US18011
3,9267,4606,4661,0500000US18011
4,8594,4219,4375,0500000US18011
5,5327,2535,2792,0500000US18011
6,2670,1139,1531,0500000US18011
7,957,326,631,0500000US18011
0,15234,7507,7727,0500000US18013
1,3017,1509,1508,0500000US18013
2,3684,1849,1835,0500000US18013
3,2162,1057,1105,0500000US18013
4,2703,1323,1380,0500000US18013
5,2327,1154,1173,0500000US18013
6,1022,495,527,0500000US18013
7,319,120,199,0500000US18013
0,20127,10117,10010,0500000US18015
1,4914,2532,2382,0500000US18015
2,5590,2847,2743,0500000US18015
3,2634,1380,1254,0500000US18015
4,3040,1545,1495,0500000US18015
5,2308,1107,1201,0500000US18015
6,1196,555,641,0500000US18015
7,445,151,294,0500000US18015
0,37955,18958,18997,0500000US18017
1,9640,4982,4658,0500000US18017
2,11248,5779,5469,0500000US18017
3,5003,2583,2420,0500000US18017
4,5311,2687,2624,0500000US18017
5,3749,1760,1989,0500000US18017
6,2094,858,1236,0500000US18017
7,910,309,601,0500000US18017
0,117360,57274,60086,0500000US18019
1,28760,14718,14042,0500000US18019
2,38531,19304,19227,0500000US18019
3,15748,7792,7956,0500000US18019
4,15797,7550,8247,0500000US18019
5,11328,5118,6210,0500000US18019
6,5274,2206,3068,0500000US18019
7,1922,586,1336,0500000US18019
0,26170,12930,13240,0500000US18021
1,6552,3325,3227,0500000US18021
2,7758,3905,3853,0500000US18021
3,3358,1678,1680,0500000US18021
4,3827,1905,1922,0500000US18021
5,2691,1305,1386,0500000US18021
6,1414,601,813,0500000US18021
7,570,211,359,0500000US18021
0,32250,16035,16215,0500000US18023
1,9194,4746,4448,0500000US18023
2,9518,4827,4691,0500000US18023
3,3899,2019,1880,0500000US18023
4,4260,2077,2183,0500000US18023
5,2923,1409,1514,0500000US18023
6,1606,685,921,0500000US18023
7,850,272,578,0500000US18023
0,10558,5371,5187,0500000US18025
1,2490,1261,1229,0500000US18025
2,2860,1468,1392,0500000US18025
3,1430,724,706,0500000US18025
4,1717,876,841,0500000US18025
5,1283,683,600,0500000US18025
6,608,301,307,0500000US18025
7,170,58,112,0500000US18025
0,33147,16701,16446,0500000US18027
1,10494,5405,5089,0500000US18027
2,9900,5160,4740,0500000US18027
3,3623,1841,1782,0500000US18027
4,4050,2027,2023,0500000US18027
5,2895,1401,1494,0500000US18027
6,1555,672,883,0500000US18027
7,630,195,435,0500000US18027
0,49568,24649,24919,0500000US18029
1,12225,6221,6004,0500000US18029
2,14106,7176,6930,0500000US18029
3,7022,3493,3529,0500000US18029
4,7436,3659,3777,0500000US18029
5,5330,2615,2715,0500000US18029
6,2559,1175,1384,0500000US18029
7,890,310,580,0500000US18029
0,26794,13306,13488,0500000US18031
1,7148,3668,3480,0500000US18031
2,8021,4039,3982,0500000US18031
3,3428,1745,1683,0500000US18031
4,3712,1858,1854,0500000US18031
5,2575,1235,1340,0500000US18031
6,1344,566,778,0500000US18031
7,566,195,371,0500000US18031
0,43226,21453,21773,0500000US18033
1,11434,5807,5627,0500000US18033
2,13226,6695,6531,0500000US18033
3,5624,2865,2759,0500000US18033
4,5923,2961,2962,0500000US18033
5,4162,1983,2179,0500000US18033
6,2039,878,1161,0500000US18033
7,818,264,554,0500000US18033
0,114772,55383,59389,0500000US18035
1,27507,13676,13831,0500000US18035
2,40700,20116,20584,0500000US18035
3,13101,6443,6658,0500000US18035
4,13792,6636,7156,0500000US18035
5,10905,4911,5994,0500000US18035
6,6112,2666,3446,0500000US18035
7,2655,935,1720,0500000US18035
0,42565,21273,21292,0500000US18037
1,11227,5791,5436,0500000US18037
2,12164,6271,5893,0500000US18037
3,5472,2813,2659,0500000US18037
4,6272,3142,3130,0500000US18037
5,4123,1988,2135,0500000US18037
6,2278,945,1333,0500000US18037
7,1029,323,706,0500000US18037
0,205560,101597,103963,0500000US18039
1,61829,31524,30305,0500000US18039
2,64142,32329,31813,0500000US18039
3,25100,12552,12548,0500000US18039
4,24207,11885,12322,0500000US18039
5,17267,8075,9192,0500000US18039
6,8974,3919,5055,0500000US18039
7,4041,1313,2728,0500000US18039
0,23047,11381,11666,0500000US18041
1,5486,2830,2656,0500000US18041
2,6595,3274,3321,0500000US18041
3,3061,1595,1466,0500000US18041
4,3205,1526,1679,0500000US18041
5,2719,1295,1424,0500000US18041
6,1379,627,752,0500000US18041
7,602,234,368,0500000US18041
0,77781,37782,39999,0500000US18043
1,19371,9908,9463,0500000US18043
2,24332,11943,12389,0500000US18043
3,10410,5103,5307,0500000US18043
4,11119,5378,5741,0500000US18043
5,7593,3479,4114,0500000US18043
6,3537,1517,2020,0500000US18043
7,1419,454,965,0500000US18043
0,16351,8162,8189,0500000US18045
1,3936,2117,1819,0500000US18045
2,4574,2308,2266,0500000US18045
3,2190,1087,1103,0500000US18045
4,2369,1176,1193,0500000US18045
5,1797,872,925,0500000US18045
6,1054,464,590,0500000US18045
7,431,138,293,0500000US18045
0,22736,11357,11379,0500000US18047
1,5761,2960,2801,0500000US18047
2,6298,3160,3138,0500000US18047
3,3132,1600,1532,0500000US18047
4,3358,1712,1646,0500000US18047
5,2460,1217,1243,0500000US18047
6,1253,558,695,0500000US18047
7,474,150,324,0500000US18047
0,20092,10048,10044,0500000US18049
1,5158,2655,2503,0500000US18049
2,5706,2918,2788,0500000US18049
3,2434,1244,1190,0500000US18049
4,2874,1437,1437,0500000US18049
5,2236,1098,1138,0500000US18049
6,1235,538,697,0500000US18049
7,449,158,291,0500000US18049
0,33452,16739,16713,0500000US18051
1,8587,4475,4112,0500000US18051
2,9891,5015,4876,0500000US18051
3,4344,2219,2125,0500000US18051
4,4754,2382,2372,0500000US18051
5,3295,1581,1714,0500000US18051
6,1762,792,970,0500000US18051
7,819,275,544,0500000US18051
0,65936,31558,34378,0500000US18053
1,16246,8114,8132,0500000US18053
2,19855,9591,10264,0500000US18053
3,7938,3901,4037,0500000US18053
4,9223,4423,4800,0500000US18053
5,6983,3281,3702,0500000US18053
6,4085,1727,2358,0500000US18053
7,1606,521,1085,0500000US18053
0,32006,16020,15986,0500000US18055
1,7668,3937,3731,0500000US18055
2,8865,4524,4341,0500000US18055
3,4485,2274,2211,0500000US18055
4,4740,2405,2335,0500000US18055
5,3567,1727,1840,0500000US18055
6,1936,870,1066,0500000US18055
7,745,283,462,0500000US18055
0,330086,161345,168741,0500000US18057
1,96767,49422,47345,0500000US18057
2,105907,51521,54386,0500000US18057
3,48056,23708,24348,0500000US18057
4,38494,18543,19951,0500000US18057
5,25027,11674,13353,0500000US18057
6,11270,4867,6403,0500000US18057
7,4565,1610,2955,0500000US18057
0,76351,37563,38788,0500000US18059
1,19554,9998,9556,0500000US18059
2,23209,11611,11598,0500000US18059
3,10710,5249,5461,0500000US18059
4,10473,5089,5384,0500000US18059
5,7467,3490,3977,0500000US18059
6,3644,1649,1995,0500000US18059
7,1294,477,817,0500000US18059
0,40350,20163,20187,0500000US18061
1,9948,5149,4799,0500000US18061
2,11732,5952,5780,0500000US18061
3,5495,2783,2712,0500000US18061
4,6033,2973,3060,0500000US18061
5,4313,2087,2226,0500000US18061
6,2035,928,1107,0500000US18061
7,794,291,503,0500000US18061
0,167009,83558,83451,0500000US18063
1,45685,23591,22094,0500000US18063
2,54453,27905,26548,0500000US18063
3,23018,11614,11404,0500000US18063
4,20712,10155,10557,0500000US18063
5,13974,6546,7428,0500000US18063
6,6731,2880,3851,0500000US18063
7,2436,867,1569,0500000US18063
0,48271,25099,23172,0500000US18065
1,10940,5697,5243,0500000US18065
2,14658,8249,6409,0500000US18065
3,6684,3625,3059,0500000US18065
4,6855,3455,3400,0500000US18065
5,5173,2473,2700,0500000US18065
6,2871,1236,1635,0500000US18065
7,1090,364,726,0500000US18065
0,82366,39983,42383,0500000US18067
1,20411,10579,9832,0500000US18067
2,24029,11778,12251,0500000US18067
3,10363,5153,5210,0500000US18067
4,11507,5462,6045,0500000US18067
5,9020,4101,4919,0500000US18067
6,5051,2221,2830,0500000US18067
7,1985,689,1296,0500000US18067
0,36240,17873,18367,0500000US18069
1,8876,4517,4359,0500000US18069
2,11103,5640,5463,0500000US18069
3,4573,2298,2275,0500000US18069
4,5458,2691,2767,0500000US18069
5,3477,1647,1830,0500000US18069
6,1918,824,1094,0500000US18069
7,835,256,579,0500000US18069
0,44111,21987,22124,0500000US18071
1,11771,6100,5671,0500000US18071
2,13508,6882,6626,0500000US18071
3,5807,2998,2809,0500000US18071
4,5807,2816,2991,0500000US18071
5,4132,1934,2198,0500000US18071
6,2227,973,1254,0500000US18071
7,859,284,575,0500000US18071
0,33370,16601,16769,0500000US18073
1,8755,4492,4263,0500000US18073
2,9866,5013,4853,0500000US18073
3,4160,2057,2103,0500000US18073
4,4717,2347,2370,0500000US18073
5,3444,1669,1775,0500000US18073
6,1814,801,1013,0500000US18073
7,614,222,392,0500000US18073
0,20764,10348,10416,0500000US18075
1,5790,3001,2789,0500000US18075
2,5750,2953,2797,0500000US18075
3,2741,1342,1399,0500000US18075
4,2772,1401,1371,0500000US18075
5,2154,1025,1129,0500000US18075
6,1119,486,633,0500000US18075
7,438,140,298,0500000US18075
0,32208,15497,16711,0500000US18077
1,7511,3787,3724,0500000US18077
2,9960,4701,5259,0500000US18077
3,4240,2049,2191,0500000US18077
4,4701,2328,2373,0500000US18077
5,3470,1678,1792,0500000US18077
6,1685,745,940,0500000US18077
7,641,209,432,0500000US18077
0,27611,13837,13774,0500000US18079
1,6958,3564,3394,0500000US18079
2,8193,4187,4006,0500000US18079
3,4028,2048,1980,0500000US18079
4,3893,1983,1910,0500000US18079
5,2751,1279,1472,0500000US18079
6,1396,639,757,0500000US18079
7,392,137,255,0500000US18079
0,156225,77105,79120,0500000US18081
1,42322,21846,20476,0500000US18081
2,51760,25801,25959,0500000US18081
3,20390,10162,10228,0500000US18081
4,18984,9297,9687,0500000US18081
5,13289,6143,7146,0500000US18081
6,6962,2994,3968,0500000US18081
7,2518,862,1656,0500000US18081
0,36895,18682,18213,0500000US18083
1,9561,5021,4540,0500000US18083
2,11376,6128,5248,0500000US18083
3,4278,2175,2103,0500000US18083
4,5098,2521,2577,0500000US18083
5,3690,1748,1942,0500000US18083
6,2051,840,1211,0500000US18083
7,841,249,592,0500000US18083
0,79344,39656,39688,0500000US18085
1,20911,10648,10263,0500000US18085
2,24617,12673,11944,0500000US18085
3,9665,4821,4844,0500000US18085
4,10877,5411,5466,0500000US18085
5,7771,3782,3989,0500000US18085
6,3984,1795,2189,0500000US18085
7,1519,526,993,0500000US18085
0,39330,19980,19350,0500000US18087
1,13887,7249,6638,0500000US18087
2,11483,5894,5589,0500000US18087
3,4283,2192,2091,0500000US18087
4,4314,2112,2202,0500000US18087
5,3162,1565,1597,0500000US18087
6,1645,745,900,0500000US18087
7,556,223,333,0500000US18087
0,484411,234475,249936,0500000US18089
1,125186,63874,61312,0500000US18089
2,150754,74194,76560,0500000US18089
3,61350,29780,31570,0500000US18089
4,67017,31989,35028,0500000US18089
5,45996,21257,24739,0500000US18089
6,23441,9699,13742,0500000US18089
7,10667,3682,6985,0500000US18089
0,110007,56694,53313,0500000US18091
1,25897,13232,12665,0500000US18091
2,34616,19442,15174,0500000US18091
3,14415,7541,6874,0500000US18091
4,15387,7680,7707,0500000US18091
5,11822,5658,6164,0500000US18091
6,5624,2406,3218,0500000US18091
7,2246,735,1511,0500000US18091
0,45668,22625,23043,0500000US18093
1,10900,5641,5259,0500000US18093
2,12880,6558,6322,0500000US18093
3,6163,3129,3034,0500000US18093
4,6583,3219,3364,0500000US18093
5,5248,2508,2740,0500000US18093
6,2780,1217,1563,0500000US18093
7,1114,353,761,0500000US18093
0,129641,64792,64849,0500000US18095
1,31238,16194,15044,0500000US18095
2,40050,20791,19259,0500000US18095
3,17322,8837,8485,0500000US18095
4,17317,8474,8843,0500000US18095
5,13764,6384,7380,0500000US18095
6,7117,3121,3996,0500000US18095
7,2833,991,1842,0500000US18095
0,954670,460093,494577,0500000US18097
1,257636,131402,126234,0500000US18097
2,350264,169981,180283,0500000US18097
3,111797,54035,57762,0500000US18097
4,114615,53986,60629,0500000US18097
5,71590,32296,39294,0500000US18097
6,33217,13391,19826,0500000US18097
7,15551,5002,10549,0500000US18097
0,46248,23052,23196,0500000US18099
1,12698,6498,6200,0500000US18099
2,13123,6743,6380,0500000US18099
3,5838,2953,2885,0500000US18099
4,6328,3186,3142,0500000US18099
5,4597,2204,2393,0500000US18099
6,2506,1093,1413,0500000US18099
7,1158,375,783,0500000US18099
0,10217,5177,5040,0500000US18101
1,2483,1321,1162,0500000US18101
2,2824,1475,1349,0500000US18101
3,1320,653,667,0500000US18101
4,1562,804,758,0500000US18101
5,1182,552,630,0500000US18101
6,631,283,348,0500000US18101
7,215,89,126,0500000US18101
0,35567,19133,16434,0500000US18103
1,8278,4311,3967,0500000US18103
2,11477,6837,4640,0500000US18103
3,4754,2631,2123,0500000US18103
4,4769,2428,2341,0500000US18103
5,3694,1837,1857,0500000US18103
6,1832,812,1020,0500000US18103
7,763,277,486,0500000US18103
0,146917,73034,73883,0500000US18105
1,34205,17384,16821,0500000US18105
2,64164,32898,31266,0500000US18105
3,14059,6974,7085,0500000US18105
4,15240,7262,7978,0500000US18105
5,11260,5265,5995,0500000US18105
6,5506,2366,3140,0500000US18105
7,2483,885,1598,0500000US18105
0,38346,19448,18898,0500000US18107
1,9876,5214,4662,0500000US18107
2,11228,5925,5303,0500000US18107
3,4934,2489,2445,0500000US18107
4,5434,2744,2690,0500000US18107
5,3737,1738,1999,0500000US18107
6,2255,1020,1235,0500000US18107
7,882,318,564,0500000US18107
0,70116,34819,35297,0500000US18109
1,17467,9056,8411,0500000US18109
2,19977,10042,9935,0500000US18109
3,10177,4995,5182,0500000US18109
4,10621,5376,5245,0500000US18109
5,7245,3389,3856,0500000US18109
6,3526,1562,1964,0500000US18109
7,1103,399,704,0500000US18109
0,14011,7073,6938,0500000US18111
1,3267,1649,1618,0500000US18111
2,3971,2083,1888,0500000US18111
3,1809,948,861,0500000US18111
4,2236,1144,1092,0500000US18111
5,1521,739,782,0500000US18111
6,896,412,484,0500000US18111
7,311,98,213,0500000US18111
0,47532,23825,23707,0500000US18113
1,12751,6520,6231,0500000US18113
2,14422,7352,7070,0500000US18113
3,6143,3130,3013,0500000US18113
4,6591,3353,3238,0500000US18113
5,4711,2319,2392,0500000US18113
6,1963,845,1118,0500000US18113
7,951,306,645,0500000US18113
0,5844,2894,2950,0500000US18115
1,1214,618,596,0500000US18115
2,1515,748,767,0500000US18115
3,796,419,377,0500000US18115
4,1028,508,520,0500000US18115
5,745,360,385,0500000US18115
6,428,201,227,0500000US18115
7,118,40,78,0500000US18115
0,19489,9719,9770,0500000US18117
1,4871,2569,2302,0500000US18117
2,5414,2731,2683,0500000US18117
3,2477,1258,1219,0500000US18117
4,2919,1444,1475,0500000US18117
5,2247,1055,1192,0500000US18117
6,1142,515,627,0500000US18117
7,419,147,272,0500000US18117
0,20845,10423,10422,0500000US18119
1,4845,2461,2384,0500000US18119
2,5638,2847,2791,0500000US18119
3,2924,1474,1450,0500000US18119
4,3419,1739,1680,0500000US18119
5,2489,1212,1277,0500000US18119
6,1169,555,614,0500000US18119
7,361,135,226,0500000US18119
0,16927,8000,8927,0500000US18121
1,3974,2096,1878,0500000US18121
2,5075,2145,2930,0500000US18121
3,2151,1018,1133,0500000US18121
4,2446,1178,1268,0500000US18121
5,1974,972,1002,0500000US18121
6,970,466,504,0500000US18121
7,337,125,212,0500000US18121
0,19102,10232,8870,0500000US18123
1,4380,2267,2113,0500000US18123
2,5982,3557,2425,0500000US18123
3,2391,1337,1054,0500000US18123
4,2759,1390,1369,0500000US18123
5,2096,1041,1055,0500000US18123
6,1005,464,541,0500000US18123
7,489,176,313,0500000US18123
0,12410,6187,6223,0500000US18125
1,2976,1484,1492,0500000US18125
2,3384,1724,1660,0500000US18125
3,1637,839,798,0500000US18125
4,1926,968,958,0500000US18125
5,1428,721,707,0500000US18125
6,782,361,421,0500000US18125
7,277,90,187,0500000US18125
0,169594,83930,85664,0500000US18127
1,41962,21632,20330,0500000US18127
2,53759,27150,26609,0500000US18127
3,22040,10943,11097,0500000US18127
4,24030,11567,12463,0500000US18127
5,16897,8161,8736,0500000US18127
6,7782,3443,4339,0500000US18127
7,3124,1034,2090,0500000US18127
0,25540,12755,12785,0500000US18129
1,6146,3163,2983,0500000US18129
2,7230,3682,3548,0500000US18129
3,3317,1647,1670,0500000US18129
4,4048,2067,1981,0500000US18129
5,2836,1385,1451,0500000US18129
6,1387,618,769,0500000US18129
7,576,193,383,0500000US18129
0,12469,6357,6112,0500000US18131
1,3048,1601,1447,0500000US18131
2,3503,1836,1667,0500000US18131
3,1635,794,841,0500000US18131
4,1840,955,885,0500000US18131
5,1363,673,690,0500000US18131
6,779,386,393,0500000US18131
7,301,112,189,0500000US18131
0,37779,19840,17939,0500000US18133
1,9033,4605,4428,0500000US18133
2,12674,7212,5462,0500000US18133
3,4822,2585,2237,0500000US18133
4,4987,2580,2407,0500000US18133
5,3528,1693,1835,0500000US18133
6,1964,865,1099,0500000US18133
7,771,300,471,0500000US18133
0,24851,12202,12649,0500000US18135
1,6266,3164,3102,0500000US18135
2,6764,3390,3374,0500000US18135
3,3235,1655,1580,0500000US18135
4,3541,1764,1777,0500000US18135
5,2732,1282,1450,0500000US18135
6,1602,709,893,0500000US18135
7,711,238,473,0500000US18135
0,28523,14128,14395,0500000US18137
1,7430,3845,3585,0500000US18137
2,8219,4108,4111,0500000US18137
3,3815,1876,1939,0500000US18137
4,3974,1959,2015,0500000US18137
5,2917,1436,1481,0500000US18137
6,1511,688,823,0500000US18137
7,657,216,441,0500000US18137
0,16663,8223,8440,0500000US18139
1,4167,2121,2046,0500000US18139
2,4696,2343,2353,0500000US18139
3,2277,1159,1118,0500000US18139
4,2467,1244,1223,0500000US18139
5,1691,791,900,0500000US18139
6,986,440,546,0500000US18139
7,379,125,254,0500000US18139
0,270771,131836,138935,0500000US18141
1,73176,37253,35923,0500000US18141
2,88368,43500,44868,0500000US18141
3,32029,15640,16389,0500000US18141
4,34415,16626,17789,0500000US18141
5,24635,11664,12971,0500000US18141
6,11850,5022,6828,0500000US18141
7,6298,2131,4167,0500000US18141
0,23878,11731,12147,0500000US18143
1,5907,2966,2941,0500000US18143
2,7220,3578,3642,0500000US18143
3,3357,1724,1633,0500000US18143
4,3419,1678,1741,0500000US18143
5,2391,1125,1266,0500000US18143
6,1238,523,715,0500000US18143
7,346,137,209,0500000US18143
0,44593,22146,22447,0500000US18145
1,11108,5737,5371,0500000US18145
2,13173,6701,6472,0500000US18145
3,6043,2972,3071,0500000US18145
4,6625,3303,3322,0500000US18145
5,4411,2138,2273,0500000US18145
6,2267,970,1297,0500000US18145
7,966,325,641,0500000US18145
0,20327,10232,10095,0500000US18147
1,4872,2485,2387,0500000US18147
2,5578,2862,2716,0500000US18147
3,2750,1401,1349,0500000US18147
4,3195,1613,1582,0500000US18147
5,2303,1141,1162,0500000US18147
6,1167,558,609,0500000US18147
7,462,172,290,0500000US18147
0,22935,11437,11498,0500000US18149
1,5722,2919,2803,0500000US18149
2,6503,3281,3222,0500000US18149
3,2970,1480,1490,0500000US18149
4,3474,1726,1748,0500000US18149
5,2549,1253,1296,0500000US18149
6,1372,633,739,0500000US18149
7,345,145,200,0500000US18149
0,34586,17560,17026,0500000US18151
1,8223,4260,3963,0500000US18151
2,9554,5057,4497,0500000US18151
3,4591,2310,2281,0500000US18151
4,5235,2646,2589,0500000US18151
5,4257,2084,2173,0500000US18151
6,2038,976,1062,0500000US18151
7,688,227,461,0500000US18151
0,20690,11241,9449,0500000US18153
1,4439,2389,2050,0500000US18153
2,6940,4210,2730,0500000US18153
3,2858,1599,1259,0500000US18153
4,2735,1396,1339,0500000US18153
5,2193,1041,1152,0500000US18153
6,1057,450,607,0500000US18153
7,468,156,312,0500000US18153
0,10717,5524,5193,0500000US18155
1,2883,1532,1351,0500000US18155
2,3017,1557,1460,0500000US18155
3,1462,758,704,0500000US18155
4,1500,758,742,0500000US18155
5,1080,571,509,0500000US18155
6,587,281,306,0500000US18155
7,188,67,121,0500000US18155
0,193048,98678,94370,0500000US18157
1,51915,26856,25059,0500000US18157
2,81496,43728,37768,0500000US18157
3,18799,9364,9435,0500000US18157
4,18367,8837,9530,0500000US18157
5,13101,6060,7041,0500000US18157
6,6406,2775,3631,0500000US18157
7,2964,1058,1906,0500000US18157
0,15128,7537,7591,0500000US18159
1,3485,1816,1669,0500000US18159
2,4075,2087,1988,0500000US18159
3,2108,1064,1044,0500000US18159
4,2304,1158,1146,0500000US18159
5,1780,865,915,0500000US18159
6,969,424,545,0500000US18159
7,407,123,284,0500000US18159
0,7037,3491,3546,0500000US18161
1,1584,835,749,0500000US18161
2,2007,1010,997,0500000US18161
3,1009,491,518,0500000US18161
4,1074,541,533,0500000US18161
5,815,387,428,0500000US18161
6,396,172,224,0500000US18161
7,152,55,97,0500000US18161
0,180974,87699,93275,0500000US18163
1,44143,22283,21860,0500000US18163
2,59708,29672,30036,0500000US18163
3,21201,10414,10787,0500000US18163
4,25349,12222,13127,0500000US18163
5,17237,8021,9216,0500000US18163
6,9023,3728,5295,0500000US18163
7,4313,1359,2954,0500000US18163
0,15479,7691,7788,0500000US18165
1,3751,1994,1757,0500000US18165
2,4344,2206,2138,0500000US18165
3,2057,1035,1022,0500000US18165
4,2225,1059,1166,0500000US18165
5,1805,881,924,0500000US18165
6,917,400,517,0500000US18165
7,380,116,264,0500000US18165
0,107386,54405,52981,0500000US18167
1,26172,13648,12524,0500000US18167
2,38078,20545,17533,0500000US18167
3,12563,6549,6014,0500000US18167
4,13056,6394,6662,0500000US18167
5,9992,4609,5383,0500000US18167
6,5208,1995,3213,0500000US18167
7,2317,665,1652,0500000US18167
0,31280,15158,16122,0500000US18169
1,7560,3784,3776,0500000US18169
2,8838,4426,4412,0500000US18169
3,3841,1887,1954,0500000US18169
4,4515,2245,2270,0500000US18169
5,3419,1608,1811,0500000US18169
6,2048,869,1179,0500000US18169
7,1059,339,720,0500000US18169
0,8263,4086,4177,0500000US18171
1,2020,993,1027,0500000US18171
2,2196,1099,1097,0500000US18171
3,1138,582,556,0500000US18171
4,1238,648,590,0500000US18171
5,919,438,481,0500000US18171
6,554,257,297,0500000US18171
7,198,69,129,0500000US18171
0,62567,30670,31897,0500000US18173
1,16298,8281,8017,0500000US18173
2,18172,9041,9131,0500000US18173
3,8434,4211,4223,0500000US18173
4,8716,4211,4505,0500000US18173
5,6518,3074,3444,0500000US18173
6,3126,1417,1709,0500000US18173
7,1303,435,868,0500000US18173
0,27943,13920,14023,0500000US18175
1,6986,3541,3445,0500000US18175
2,8222,4199,4023,0500000US18175
3,3883,1978,1905,0500000US18175
4,4086,2005,2081,0500000US18175
5,2909,1374,1535,0500000US18175
6,1362,637,725,0500000US18175
7,495,186,309,0500000US18175
0,65936,31937,33999,0500000US18177
1,16206,8205,8001,0500000US18177
2,19430,9757,9673,0500000US18177
3,8463,4157,4306,0500000US18177
4,9206,4444,4762,0500000US18177
5,6982,3165,3817,0500000US18177
6,3922,1662,2260,0500000US18177
7,1727,547,1180,0500000US18177
0,28206,13912,14294,0500000US18179
1,7552,3877,3675,0500000US18179
2,8024,4072,3952,0500000US18179
3,3424,1716,1708,0500000US18179
4,4042,1994,2048,0500000US18179
5,2857,1378,1479,0500000US18179
6,1533,635,898,0500000US18179
7,774,240,534,0500000US18179
0,24133,12010,12123,0500000US18181
1,6192,3183,3009,0500000US18181
2,6469,3325,3144,0500000US18181
3,3047,1522,1525,0500000US18181
4,3571,1730,1841,0500000US18181
5,2845,1399,1446,0500000US18181
6,1380,607,773,0500000US18181
7,629,244,385,0500000US18181
0,34074,16983,17091,0500000US18183
1,8581,4455,4126,0500000US18183
2,9932,5047,4885,0500000US18183
3,4316,2156,2160,0500000US18183
4,5121,2570,2551,0500000US18183
5,3638,1782,1856,0500000US18183
6,1691,735,956,0500000US18183
7,795,238,557,0500000US18183
0,7063,3509,3554,0500000US19001
1,1651,839,812,0500000US19001
2,1874,961,913,0500000US19001
3,806,408,398,0500000US19001
4,1129,592,537,0500000US19001
5,805,394,411,0500000US19001
6,483,195,288,0500000US19001
7,315,120,195,0500000US19001
0,3645,1825,1820,0500000US19003
1,844,436,408,0500000US19003
2,919,464,455,0500000US19003
3,411,199,212,0500000US19003
4,630,325,305,0500000US19003
5,447,234,213,0500000US19003
6,279,124,155,0500000US19003
7,115,43,72,0500000US19003
0,13832,7019,6813,0500000US19005
1,3519,1794,1725,0500000US19005
2,3472,1829,1643,0500000US19005
3,1572,795,777,0500000US19005
4,2126,1083,1043,0500000US19005
5,1748,885,863,0500000US19005
6,982,483,499,0500000US19005
7,413,150,263,0500000US19005
0,12437,6143,6294,0500000US19007
1,3015,1555,1460,0500000US19007
2,3201,1595,1606,0500000US19007
3,1492,771,721,0500000US19007
4,1906,956,950,0500000US19007
5,1541,732,809,0500000US19007
6,861,389,472,0500000US19007
7,421,145,276,0500000US19007
0,5506,2673,2833,0500000US19009
1,1229,619,610,0500000US19009
2,1344,673,671,0500000US19009
3,628,310,318,0500000US19009
4,943,479,464,0500000US19009
5,658,321,337,0500000US19009
6,437,199,238,0500000US19009
7,267,72,195,0500000US19009
0,25642,12785,12857,0500000US19011
1,6510,3269,3241,0500000US19011
2,6995,3588,3407,0500000US19011
3,3462,1710,1752,0500000US19011
4,3908,1991,1917,0500000US19011
5,2564,1261,1303,0500000US19011
6,1470,691,779,0500000US19011
7,733,275,458,0500000US19011
0,132408,65095,67313,0500000US19013
1,33355,16723,16632,0500000US19013
2,47415,23978,23437,0500000US19013
3,13784,6914,6870,0500000US19013
4,16135,7762,8373,0500000US19013
5,12353,5915,6438,0500000US19013
6,6280,2720,3560,0500000US19013
7,3086,1083,2003,0500000US19013
0,26346,13312,13034,0500000US19015
1,6146,3292,2854,0500000US19015
2,7943,4064,3879,0500000US19015
3,3318,1710,1608,0500000US19015
4,4085,2012,2073,0500000US19015
5,2805,1405,1400,0500000US19015
6,1350,603,747,0500000US19015
7,699,226,473,0500000US19015
0,24947,12348,12599,0500000US19017
1,6568,3389,3179,0500000US19017
2,7510,3769,3741,0500000US19017
3,2841,1434,1407,0500000US19017
4,3142,1546,1596,0500000US19017
5,2569,1252,1317,0500000US19017
6,1558,703,855,0500000US19017
7,759,255,504,0500000US19017
0,21199,10542,10657,0500000US19019
1,5993,3039,2954,0500000US19019
2,6001,3091,2910,0500000US19019
3,2499,1227,1272,0500000US19019
4,2920,1435,1485,0500000US19019
5,2121,1032,1089,0500000US19019
6,1159,545,614,0500000US19019
7,506,173,333,0500000US19019
0,19874,10095,9779,0500000US19021
1,5708,2908,2800,0500000US19021
2,6298,3329,2969,0500000US19021
3,2105,1065,1040,0500000US19021
4,2565,1310,1255,0500000US19021
5,1719,869,850,0500000US19021
6,926,419,507,0500000US19021
7,553,195,358,0500000US19021
0,14539,7257,7282,0500000US19023
1,3553,1844,1709,0500000US19023
2,3906,2017,1889,0500000US19023
3,1726,837,889,0500000US19023
4,2107,1070,1037,0500000US19023
5,1738,863,875,0500000US19023
6,966,423,543,0500000US19023
7,543,203,340,0500000US19023
0,9699,5005,4694,0500000US19025
1,2268,1172,1096,0500000US19025
2,2714,1553,1161,0500000US19025
3,1026,532,494,0500000US19025
4,1466,751,715,0500000US19025
5,1129,545,584,0500000US19025
6,701,319,382,0500000US19025
7,395,133,262,0500000US19025
0,20154,9924,10230,0500000US19027
