NEWAGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,GEO_ID
7,979,316,663,0500000US01039
0,13824,6674,7150,0500000US01041
1,3446,1775,1671,0500000US01041
2,3983,1926,2057,0500000US01041
3,1767,835,932,0500000US01041
4,1999,995,1004,0500000US01041
5,1605,739,866,0500000US01041
6,721,320,401,0500000US01041
7,303,84,219,0500000US01041
0,83442,41245,42197,0500000US01043
1,20532,10478,10054,0500000US01043
2,25392,12870,12522,0500000US01043
3,10700,5400,5300,0500000US01043
4,11372,5587,5785,0500000US01043
5,9077,4249,4828,0500000US01043
6,4919,2131,2788,0500000US01043
7,1450,530,920,0500000US01043
0,48956,24023,24933,0500000US01045
1,12304,6305,5999,0500000US01045
2,16059,8125,7934,0500000US01045
3,5903,2860,3043,0500000US01045
4,6420,3052,3368,0500000US01045
5,4778,2260,2518,0500000US01045
6,2594,1083,1511,0500000US01045
7,898,338,560,0500000US01045
0,38310,17685,20625,0500000US01047
1,10112,5102,5010,0500000US01047
2,11098,5043,6055,0500000US01047
3,4522,2065,2457,0500000US01047
4,5657,2543,3114,0500000US01047
5,4138,1890,2248,0500000US01047
6,2082,849,1233,0500000US01047
7,701,193,508,0500000US01047
0,71385,35428,35957,0500000US01049
1,18938,9774,9164,0500000US01049
2,21324,10803,10521,0500000US01049
3,9481,4745,4736,0500000US01049
4,9320,4577,4743,0500000US01049
5,7375,3506,3869,0500000US01049
6,3740,1625,2115,0500000US01049
7,1207,398,809,0500000US01049
0,81887,39585,42302,0500000US01051
1,19994,10246,9748,0500000US01051
2,27452,13303,14149,0500000US01051
3,11272,5341,5931,0500000US01051
4,10769,5103,5666,0500000US01051
5,7545,3538,4007,0500000US01051
6,3691,1693,1998,0500000US01051
7,1164,361,803,0500000US01051
0,36748,18628,18120,0500000US01053
1,8953,4470,4483,0500000US01053
2,11622,6505,5117,0500000US01053
3,4776,2546,2230,0500000US01053
4,4801,2324,2477,0500000US01053
5,3786,1699,2087,0500000US01053
6,2127,866,1261,0500000US01053
7,683,218,465,0500000US01053
0,102501,49653,52848,0500000US01055
1,24279,12497,11782,0500000US01055
2,30826,15166,15660,0500000US01055
3,13874,6807,7067,0500000US01055
4,14035,6696,7339,0500000US01055
5,11631,5367,6264,0500000US01055
6,5873,2484,3389,0500000US01055
7,1983,636,1347,0500000US01055
0,16433,8023,8410,0500000US01057
1,3821,1973,1848,0500000US01057
2,4649,2341,2308,0500000US01057
3,2127,1033,1094,0500000US01057
4,2364,1156,1208,0500000US01057
5,1987,902,1085,0500000US01057
6,1145,502,643,0500000US01057
7,340,116,224,0500000US01057
0,31363,15823,15540,0500000US01059
1,8397,4342,4055,0500000US01059
2,9592,5080,4512,0500000US01059
3,4155,2128,2027,0500000US01059
4,3923,1922,2001,0500000US01059
5,3005,1417,1588,0500000US01059
6,1726,725,1001,0500000US01059
7,565,209,356,0500000US01059
0,26314,12846,13468,0500000US01061
1,6317,3227,3090,0500000US01061
2,7323,3625,3698,0500000US01061
3,3558,1770,1788,0500000US01061
4,3775,1841,1934,0500000US01061
5,3096,1500,1596,0500000US01061
6,1667,683,984,0500000US01061
7,578,200,378,0500000US01061
0,8233,3887,4346,0500000US01063
1,1991,1010,981,0500000US01063
2,2246,1117,1129,0500000US01063
3,895,403,492,0500000US01063
4,1264,573,691,0500000US01063
5,1072,469,603,0500000US01063
6,524,240,284,0500000US01063
7,241,75,166,0500000US01063
0,14726,7008,7718,0500000US01065
1,3754,1965,1789,0500000US01065
2,4302,2002,2300,0500000US01065
3,1722,794,928,0500000US01065
4,2119,999,1120,0500000US01065
5,1638,796,842,0500000US01065
6,841,346,495,0500000US01065
7,350,106,244,0500000US01065
0,17209,8300,8909,0500000US01067
1,3891,2012,1879,0500000US01067
2,4754,2362,2392,0500000US01067
3,2264,1098,1166,0500000US01067
4,2390,1117,1273,0500000US01067
5,2362,1087,1275,0500000US01067
6,1125,511,614,0500000US01067
7,423,113,310,0500000US01067
0,104722,50286,54436,0500000US01069
1,26371,13667,12704,0500000US01069
2,32360,15563,16797,0500000US01069
3,13484,6492,6992,0500000US01069
4,13868,6508,7360,0500000US01069
5,10921,5006,5915,0500000US01069
6,5681,2365,3316,0500000US01069
7,2037,685,1352,0500000US01069
0,51736,25390,26346,0500000US01071
1,11890,6215,5675,0500000US01071
2,14808,7313,7495,0500000US01071
3,6960,3498,3462,0500000US01071
4,7705,3749,3956,0500000US01071
5,6080,2823,3257,0500000US01071
6,3336,1473,1863,0500000US01071
7,957,319,638,0500000US01071
0,659300,311591,347709,0500000US01073
1,166689,84367,82322,0500000US01073
2,221066,105759,115307,0500000US01073
3,80367,38198,42169,0500000US01073
4,86631,39850,46781,0500000US01073
5,61585,27526,34059,0500000US01073
6,29519,11733,17786,0500000US01073
7,13443,4158,9285,0500000US01073
0,13844,6767,7077,0500000US01075
1,3243,1673,1570,0500000US01075
2,3769,1849,1920,0500000US01075
3,1812,910,902,0500000US01075
4,2022,996,1026,0500000US01075
5,1648,810,838,0500000US01075
6,1024,428,596,0500000US01075
7,326,101,225,0500000US01075
0,92387,44327,48060,0500000US01077
1,20911,10580,10331,0500000US01077
2,28602,14116,14486,0500000US01077
3,11657,5636,6021,0500000US01077
4,12654,5973,6681,0500000US01077
5,10595,4858,5737,0500000US01077
6,5873,2470,3403,0500000US01077
7,2095,694,1401,0500000US01077
0,32957,16047,16910,0500000US01079
1,7785,3992,3793,0500000US01079
2,9444,4678,4766,0500000US01079
3,4705,2303,2402,0500000US01079
4,4872,2328,2544,0500000US01079
5,3666,1687,1979,0500000US01079
6,1927,872,1055,0500000US01079
7,558,187,371,0500000US01079
0,163941,80639,83302,0500000US01081
1,42578,21594,20984,0500000US01081
2,64871,32505,32366,0500000US01081
3,19328,9344,9984,0500000US01081
4,17683,8463,9220,0500000US01081
5,12160,5663,6497,0500000US01081
6,5520,2447,3073,0500000US01081
7,1801,623,1178,0500000US01081
0,96174,48156,48018,0500000US01083
1,23756,12053,11703,0500000US01083
2,30802,15921,14881,0500000US01083
3,14081,7136,6945,0500000US01083
4,12927,6478,6449,0500000US01083
5,8822,4189,4633,0500000US01083
6,4395,1937,2458,0500000US01083
7,1391,442,949,0500000US01083
0,9974,4670,5304,0500000US01085
1,2440,1209,1231,0500000US01085
2,2883,1376,1507,0500000US01085
3,1270,592,678,0500000US01085
4,1501,703,798,0500000US01085
5,1069,472,597,0500000US01085
6,596,257,339,0500000US01085
7,215,61,154,0500000US01085
0,18439,8383,10056,0500000US01087
1,4201,2038,2163,0500000US01087
2,5931,2735,3196,0500000US01087
3,2058,918,1140,0500000US01087
4,2493,1120,1373,0500000US01087
5,2272,1003,1269,0500000US01087
6,1059,440,619,0500000US01087
7,425,129,296,0500000US01087
0,366519,179074,187445,0500000US01089
1,90000,45949,44051,0500000US01089
2,120494,59940,60554,0500000US01089
3,49370,23854,25516,0500000US01089
4,51530,25189,26341,0500000US01089
5,31777,14602,17175,0500000US01089
6,17125,7241,9884,0500000US01089
7,6223,2299,3924,0500000US01089
0,19066,8933,10133,0500000US01091
1,4744,2353,2391,0500000US01091
2,5485,2618,2867,0500000US01091
3,2421,1120,1301,0500000US01091
4,2679,1227,1452,0500000US01091
5,2078,973,1105,0500000US01091
6,1149,481,668,0500000US01091
7,510,161,349,0500000US01091
0,29763,14686,15077,0500000US01093
1,6814,3574,3240,0500000US01093
2,8315,4150,4165,0500000US01093
3,4125,2117,2008,0500000US01093
4,4188,2064,2124,0500000US01093
5,3485,1629,1856,0500000US01093
6,2135,922,1213,0500000US01093
7,701,230,471,0500000US01093
0,96109,47502,48607,0500000US01095
1,26127,13482,12645,0500000US01095
2,28703,14630,14073,0500000US01095
3,12325,6187,6138,0500000US01095
4,12579,6124,6455,0500000US01095
5,9430,4310,5120,0500000US01095
6,5266,2218,3048,0500000US01095
7,1679,551,1128,0500000US01095
0,413757,197077,216680,0500000US01097
1,106968,54158,52810,0500000US01097
2,134213,64344,69869,0500000US01097
3,50523,23930,26593,0500000US01097
4,55012,25790,29222,0500000US01097
5,40078,18264,21814,0500000US01097
6,19725,8202,11523,0500000US01097
7,7238,2389,4849,0500000US01097
0,21067,10005,11062,0500000US01099
1,5074,2599,2475,0500000US01099
2,5813,2745,3068,0500000US01099
3,2775,1318,1457,0500000US01099
4,3130,1482,1648,0500000US01099
5,2387,1116,1271,0500000US01099
